Time	ET
2012-12-21 00:00:00	0.186995
2012-12-22 00:00:00	0.32435
2012-12-23 00:00:00	0.349632
2012-12-24 00:00:00	0.319455
2012-12-25 00:00:00	0.292861
2012-12-26 00:00:00	0.297185
2012-12-27 00:00:00	0.244443
2012-12-28 00:00:00	0.344284
2012-12-29 00:00:00	0.328917
2012-12-30 00:00:00	0.300241
2012-12-31 00:00:00	0.363784
2013-01-01 00:00:00	0.341511
2013-01-02 00:00:00	0.282881
2013-01-03 00:00:00	0.308246
2013-01-04 00:00:00	0.331732
2013-01-05 00:00:00	0.316519
2013-01-06 00:00:00	0.32003
2013-01-07 00:00:00	0.331924
2013-01-08 00:00:00	0.392287
2013-01-09 00:00:00	0.384382
2013-01-10 00:00:00	0.395537
2013-01-11 00:00:00	0.414701
2013-01-12 00:00:00	0.381009
2013-01-13 00:00:00	0.283168
2013-01-14 00:00:00	0.298168
2013-01-15 00:00:00	0.253518
2013-01-16 00:00:00	0.252413
2013-01-17 00:00:00	0.37955
2013-01-18 00:00:00	0.450997
2013-01-19 00:00:00	0.392899
2013-01-20 00:00:00	0.404124
2013-01-21 00:00:00	0.46014
2013-01-22 00:00:00	0.453445
2013-01-23 00:00:00	0.406785
2013-01-24 00:00:00	0.426934
2013-01-25 00:00:00	0.541902
2013-01-26 00:00:00	0.426275
2013-01-27 00:00:00	0.410681
2013-01-28 00:00:00	0.351518
2013-01-29 00:00:00	0.498348
2013-01-30 00:00:00	0.509714
2013-01-31 00:00:00	0.536982
2013-02-01 00:00:00	0.534423
2013-02-02 00:00:00	0.485121
2013-02-03 00:00:00	0.593089
2013-02-04 00:00:00	0.523922
2013-02-05 00:00:00	0.526477
2013-02-06 00:00:00	0.553536
2013-02-07 00:00:00	0.529832
2013-02-08 00:00:00	0.593766
2013-02-09 00:00:00	0.586384
2013-02-10 00:00:00	0.533491
2013-02-11 00:00:00	0.599853
2013-02-12 00:00:00	0.492882
2013-02-13 00:00:00	0.614002
2013-02-14 00:00:00	0.757474
2013-02-15 00:00:00	0.721367
2013-02-16 00:00:00	0.711502
2013-02-17 00:00:00	0.751974
2013-02-18 00:00:00	0.709488
2013-02-19 00:00:00	0.747772
2013-02-20 00:00:00	0.784981
2013-02-21 00:00:00	0.693765
2013-02-22 00:00:00	0.623524
2013-02-23 00:00:00	0.743561
2013-02-24 00:00:00	0.762208
2013-02-25 00:00:00	0.767982
2013-02-26 00:00:00	0.792633
2013-02-27 00:00:00	1.1807
2013-02-28 00:00:00	1.12777
2013-03-01 00:00:00	0.865043
2013-03-02 00:00:00	1.1864
2013-03-03 00:00:00	1.07519
2013-03-04 00:00:00	0.960902
2013-03-05 00:00:00	0.945815
2013-03-06 00:00:00	0.949371
2013-03-07 00:00:00	1.11807
2013-03-08 00:00:00	0.761518
2013-03-09 00:00:00	0.846563
2013-03-10 00:00:00	0.938483
2013-03-11 00:00:00	0.701891
2013-03-12 00:00:00	1.14259
2013-03-13 00:00:00	0.953343
2013-03-14 00:00:00	0.983814
2013-03-15 00:00:00	1.15212
2013-03-16 00:00:00	1.07226
2013-03-17 00:00:00	1.17002
2013-03-18 00:00:00	1.17789
2013-03-19 00:00:00	0.977711
2013-03-20 00:00:00	1.1245
2013-03-21 00:00:00	1.04391
2013-03-22 00:00:00	0.82885
2013-03-23 00:00:00	0.692923
2013-03-24 00:00:00	0.969671
2013-03-25 00:00:00	1.034
2013-03-26 00:00:00	1.18711
2013-03-27 00:00:00	1.23791
2013-03-28 00:00:00	1.2939
2013-03-29 00:00:00	1.34294
2013-03-30 00:00:00	1.19435
2013-03-31 00:00:00	1.15408
2013-04-01 00:00:00	1.36424
2013-04-02 00:00:00	1.33721
2013-04-03 00:00:00	1.40949
2013-04-04 00:00:00	1.53169
2013-04-05 00:00:00	1.41287
2013-04-06 00:00:00	1.7963
2013-04-07 00:00:00	1.51
2013-04-08 00:00:00	1.65476
2013-04-09 00:00:00	1.61124
2013-04-10 00:00:00	1.62858
2013-04-11 00:00:00	1.81764
2013-04-12 00:00:00	1.8925
2013-04-13 00:00:00	2.04588
2013-04-14 00:00:00	2.21425
2013-04-15 00:00:00	2.2603
2013-04-16 00:00:00	2.32289
2013-04-17 00:00:00	2.14203
2013-04-18 00:00:00	2.28265
2013-04-19 00:00:00	2.17136
2013-04-20 00:00:00	2.15464
2013-04-21 00:00:00	2.22839
2013-04-22 00:00:00	2.25171
2013-04-23 00:00:00	2.49665
2013-04-24 00:00:00	2.53398
2013-04-25 00:00:00	2.2359
2013-04-26 00:00:00	2.05674
2013-04-27 00:00:00	2.18514
2013-04-28 00:00:00	2.3151
2013-04-29 00:00:00	2.41198
2013-04-30 00:00:00	2.39316
2013-05-01 00:00:00	2.32806
2013-05-02 00:00:00	2.8855
2013-05-03 00:00:00	2.69841
2013-05-04 00:00:00	2.42133
2013-05-05 00:00:00	2.93265
